date,Close,High,Low,Open,Volume,aVWAP_QQEMOD_bear_dot_c0_66,aVWAP_QQEMOD_bear_dot_c0_98,aVWAP_QQEMOD_bear_dot_c0_192,aVWAP_QQEMOD_bear_dot_c0_229,aVWAP_QQEMOD_bear_dot_c0_264,aVWAP_QQEMOD_bear_dot_c0_301,aVWAP_QQEMOD_bear_dot_c0_361,aVWAP_QQEMOD_bear_dot_c0_424,aVWAP_QQEMOD_bear_dot_c0_445,aVWAP_QQEMOD_bear_dot_c0_457,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_valley_c0_2,aVWAP_price_maxima_minima_valley_c0_3,aVWAP_price_maxima_minima_valley_c0_4,aVWAP_price_maxima_minima_valley_c0_5,aVWAP_price_maxima_minima_valley_c0_6,aVWAP_price_maxima_minima_valley_c0_7,aVWAP_price_maxima_minima_valley_c0_8,aVWAP_price_maxima_minima_valley_c0_9,aVWAP_price_maxima_minima_valley_c0_10,aVWAP_price_maxima_minima_peak_c0_1,aVWAP_price_maxima_minima_peak_c0_2,aVWAP_price_maxima_minima_peak_c0_3,aVWAP_price_maxima_minima_peak_c0_4,aVWAP_price_maxima_minima_peak_c0_5,aVWAP_price_maxima_minima_peak_c0_6,aVWAP_price_maxima_minima_peak_c0_7,aVWAP_price_maxima_minima_peak_c0_8,aVWAP_price_maxima_minima_peak_c0_9,aVWAP_price_maxima_minima_peak_c0_10,color
2024-08-01 00:00:00+00:00,39.0,40.75,38.61,39.0,30461,,,,,,,,,,,,,,,,,,,,,,,,39.45333333333333,,,,,,,#000000
2024-08-02 00:00:00+00:00,37.82,39.0,34.89,38.0,98105,,,,,,,,,,,,,,,,,,,,,,,,37.76185904515968,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-08-05 00:00:00+00:00,36.09,36.66,34.0,34.98,37903,,,,,,,,,,,,,,,,,,,,,,,,37.26583480007288,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-08-06 00:00:00+00:00,36.01,37.0,35.0,36.11,13090,,,,,,,,,,,,,,,,,,,,,,,,37.17379739621332,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-08-07 00:00:00+00:00,36.07,37.35,35.67,36.185,78304,,,,,,,,,,,,,,,,,,,,,,,,36.92768772565277,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-08-08 00:00:00+00:00,37.0,37.02,35.79,35.79,14476,,,,,,,,,,,,,,,,,,,,,,,,36.910446881766234,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-08-09 00:00:00+00:00,36.42,37.0,35.37,36.9,22624,,,,,,,,,,,,,,,,,,,,,,,,36.86081253128924,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-08-12 00:00:00+00:00,34.84,36.38,34.84,36.38,85648,,,,,,,,,,,,,,,,,,,,,,,,36.521588025569415,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-08-13 00:00:00+00:00,34.4,35.598,33.48,34.8,16461,,,,,,,,,,,,,,,,,,,,,,,,36.437477147721324,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-08-14 00:00:00+00:00,34.76,35.46,33.4501,33.82,31595,,,,,,,,,,,,,,,,,,,,,,,,36.298854034716925,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-08-15 00:00:00+00:00,34.78,35.46,34.36,34.7,17132,,,,,,,,,,,,,,,,,,,,,,,,36.24381525268862,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-08-16 00:00:00+00:00,34.81,34.9946,34.54,34.92,26868,,,,,,,,,,,,,,,,,,,,,,,,36.16069417461624,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-08-19 00:00:00+00:00,35.69,35.93,34.71,34.7117,9605,,,,,,,,,,,,,,,,,,,,,,,,36.146407110717604,,,,,,,"rgba(239, 83, 80, 0.5)"
