date,Close,High,Low,Open,Volume,aVWAP_QQEMOD_bear_dot_c0_71,aVWAP_QQEMOD_bear_dot_c0_159,aVWAP_QQEMOD_bear_dot_c0_245,aVWAP_QQEMOD_bear_dot_c0_309,aVWAP_QQEMOD_bear_dot_c0_338,aVWAP_QQEMOD_bear_dot_c0_369,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_valley_c0_2,aVWAP_price_maxima_minima_valley_c0_3,aVWAP_price_maxima_minima_valley_c0_4,aVWAP_price_maxima_minima_valley_c0_5,aVWAP_price_maxima_minima_valley_c0_6,aVWAP_price_maxima_minima_valley_c0_7,aVWAP_price_maxima_minima_valley_c0_8,aVWAP_price_maxima_minima_valley_c0_9,aVWAP_price_maxima_minima_valley_c0_10,aVWAP_price_maxima_minima_peak_c0_1,aVWAP_price_maxima_minima_peak_c0_2,aVWAP_price_maxima_minima_peak_c0_3,aVWAP_price_maxima_minima_peak_c0_4,aVWAP_price_maxima_minima_peak_c0_5,aVWAP_price_maxima_minima_peak_c0_6,aVWAP_price_maxima_minima_peak_c0_7,aVWAP_price_maxima_minima_peak_c0_8,aVWAP_price_maxima_minima_peak_c0_9,aVWAP_price_maxima_minima_peak_c0_10,color
2024-12-24 00:00:00+00:00,26.8627350792,27.0595660062,26.5018783798,26.656531251,293849,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2024-12-26 00:00:00+00:00,26.6096667446,27.1439221178,26.525310633,26.590920942,611967,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-12-27 00:00:00+00:00,26.4222087189,26.7033957574,26.2628693971,26.4971919292,755902,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-12-30 00:00:00+00:00,26.3097339035,26.9377182895,25.8692075432,25.9723094573,848174,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-12-31 00:00:00+00:00,25.9254449509,26.6471583497,25.8879533457,26.3565984099,918206,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-02 00:00:00+00:00,26.2909881009,26.6940228561,25.8223430367,26.0754113714,570818,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-03 00:00:00+00:00,26.72214156,26.853362178,26.2066319894,26.4784461266,624775,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-06 00:00:00+00:00,27.1907866242,27.4907194653,26.7408873626,26.8814808818,852306,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-07 00:00:00+00:00,27.350125946,27.6781774909,27.1031499972,27.3313801434,763727,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-01-08 00:00:00+00:00,25.8504617406,27.1814137229,25.6864359681,27.1814137229,1225389,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-10 00:00:00+00:00,25.269341861,25.4474269854,24.4351536467,25.3536979726,1285709,,,,,,,,,,25.050640831033334,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-13 00:00:00+00:00,24.8475613032,25.1006296379,24.1992377214,25.1006296379,926703,,,,,,,,,,24.91039156969947,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-14 00:00:00+00:00,24.3507975352,25.1287483417,24.3133059301,25.1006296379,856173,,,,,,,,,,24.823123688460146,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
