date,Open,High,Low,Close,Volume,aVWAP_peak_873,aVWAP_peak_845,aVWAP_valley_860,aVWAP_valley_859,aVWAP_valley_858,aVWAP_valley_827,aVWAP_valley_787,aVWAP_valley_760,aVWAP_valley_759,aVWAP_valley_744,aVWAP_valley_687,aVWAP_valley_640,aVWAP_valley_592,aVWAP_valley_504,aVWAP_valley_503,aVWAP_valley_450,aVWAP_valley_414,aVWAP_valley_369,aVWAP_valley_353,aVWAP_valley_309,aVWAP_valley_259,aVWAP_OB_bull_760,aVWAP_OB_bull_687,aVWAP_OB_bull_592,aVWAP_OB_bull_450,aVWAP_OB_bull_353,aVWAP_OB_bear_873,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-07 15:00:00+00:00,28.65,28.73,28.61,28.61,1404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1404.0,False,False,False,False
2025-02-07 16:00:00+00:00,28.61,28.62,28.565,28.58,691.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-691.0,-10.713178294573643,False,False,False,False,1392.9457364341085,False,False,False,False
2025-02-07 17:00:00+00:00,28.58,28.63,28.58,28.625,368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,20.930232558139533,-81.3953488372093,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-323.0,-15.554834445045369,False,False,False,False,1377.0551048614868,False,False,False,False
2025-02-07 18:00:00+00:00,28.625,28.73,28.625,28.73,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,42.6033237178668,-59.79654353764081,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-306.0,-20.057860267602805,False,False,False,False,1355.9689792047195,False,False,False,False
2025-02-07 19:00:00+00:00,28.73,28.73,28.67,28.68,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,49.888118260974736,-51.19177670912498,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-465.0,-26.956188015391906,False,False,False,False,1337.4113206123982,False,False,False,False
2025-02-07 20:00:00+00:00,28.68,28.68,28.595,28.605,548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,48.36878720828175,-49.97506280562222,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1013.0,-42.243688976393585,False,False,False,False,1325.1723854091051,False,False,False,False
2025-02-10 15:00:00+00:00,28.68,28.73,28.67,28.71,1748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,53.16022047014714,-41.97795009742194,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,735.0,-30.19339922482159,False,False,False,False,1331.7278523019872,False,False,False,False
2025-02-10 16:00:00+00:00,28.71,28.71,28.62,28.64,2050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,52.32177088467612,-39.04308297308297,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1315.0,-50.112881407382496,False,False,False,False,1342.8638545918789,False,False,False,False
2025-02-10 17:00:00+00:00,28.645,28.71,28.64,28.71,5045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,54.69542225881775,-32.83727988776674,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3730.0,8.493519854747461,False,False,False,False,1400.2613142106093,False,False,False,False
2025-02-10 18:00:00+00:00,28.71,28.77,28.71,28.725,1491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,56.834868885642,-26.957892742609793,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5221.0,89.30757381048781,False,False,False,False,1401.6681155406773,False,False,False,False
