date,Open,High,Low,Close,Volume,aVWAP_peak_416,aVWAP_peak_355,aVWAP_peak_354,aVWAP_peak_327,aVWAP_peak_302,aVWAP_peak_278,aVWAP_peak_253,aVWAP_peak_229,aVWAP_peak_182,aVWAP_peak_160,aVWAP_peak_120,aVWAP_peak_20,aVWAP_peak_19,aVWAP_valley_426,aVWAP_valley_399,aVWAP_valley_371,aVWAP_valley_343,aVWAP_valley_318,aVWAP_valley_283,aVWAP_valley_265,aVWAP_valley_242,aVWAP_valley_224,aVWAP_valley_193,aVWAP_valley_174,aVWAP_valley_152,aVWAP_valley_88,aVWAP_valley_73,aVWAP_OB_bear_302,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-14 17:00:00+00:00,2.06,2.07,1.995,1.995,1150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1150.0,False,False,False,False
2023-12-15 17:00:00+00:00,1.96,1.985,1.96,1.98,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-128.0,-1.9844961240310077,False,False,False,False,1134.15503875969,False,False,False,False
2023-12-18 17:00:00+00:00,2.03,2.03,2.01,2.02,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,24.99999999999995,-87.49999999999991,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,78.0,-0.7444264166816899,False,False,False,False,1119.7650381587644,False,False,False,False
2023-12-19 17:00:00+00:00,2.02,2.03,1.99,2.0,575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,34.24908424908419,-76.67582417582412,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-497.0,-8.438311278438562,False,False,False,False,1111.3190685749075,False,False,False,False
2023-12-20 17:00:00+00:00,2.06,2.06,2.06,2.06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,48.29600354651825,-60.588541863078525,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-497.0,-16.01291110357905,False,False,False,False,1094.089315573746,False,False,False,False
2023-12-21 17:00:00+00:00,2.265,2.31,2.265,2.285,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,63.00077477268624,-43.693033613344085,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-297.0,-20.36930007871736,False,False,False,False,1080.2274657198896,False,False,False,False
2023-12-22 17:00:00+00:00,2.4,2.46,2.4,2.435,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,73.65720870533185,-30.432419043439296,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-244.0,-23.836442713155847,False,False,False,False,1064.3014584994262,False,False,False,False
2023-12-25 17:00:00+00:00,2.435,2.435,2.435,2.435,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,80.76149799376226,-20.208297966055206,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-244.0,-27.249831198223198,False,False,False,False,1047.8006606932336,False,False,False,False
2023-12-26 17:00:00+00:00,2.435,2.435,2.4,2.4,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,82.63029055290006,-14.490900479508127,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-347.0,-32.207198156390284,False,False,False,False,1033.1525884344237,False,False,False,False
2023-12-27 17:00:00+00:00,2.35,2.36,2.305,2.305,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,77.63863681401521,-14.490900479508127,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-368.0,-37.413288107453994,False,False,False,False,1017.4603002416419,False,False,False,False
