date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_106,aVWAP_BoS_CHoCH_bull_272,aVWAP_BoS_CHoCH_bull_507,aVWAP_BoS_CHoCH_bull_548,aVWAP_BoS_CHoCH_bull_613,aVWAP_BoS_CHoCH_bull_810,aVWAP_BoS_CHoCH_bear_44,aVWAP_BoS_CHoCH_bear_114,aVWAP_BoS_CHoCH_bear_406,aVWAP_BoS_CHoCH_bear_631,aVWAP_BoS_CHoCH_bear_856,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,85.7363733698,85.8938142024,84.5358870217,85.4018116007,630932,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,84.8409286347,85.9430144625,84.4473265534,85.6970131617,467067,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-05 00:00:00+00:00,82.006993649,84.0930846802,81.9085931287,83.5617218704,748568,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-06 00:00:00+00:00,81.1410690701,81.7905125043,80.4227452716,81.6527517758,610903,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-07 00:00:00+00:00,79.2714591837,80.0701762072,79.1445225124,79.5863408487,841102,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-10 00:00:00+00:00,77.2739286208,77.7954513786,75.571599619,76.2407231573,1300103,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-11 00:00:00+00:00,78.3169741364,78.503935125,76.0537621686,76.5556048223,1361874,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,4.607307454766783,-45.77663483313045,False,False,False,True,True,
2022-01-12 00:00:00+00:00,77.332968933,77.806865839,76.6736854468,77.1952082045,1148990,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,7.100894829677334,-43.74680793139393,False,False,False,True,True,
2022-01-13 00:00:00+00:00,76.8704864874,77.4018492972,76.5851249785,77.323128881,737125,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,8.517883285361746,-42.74641043224654,False,False,False,True,True,
2022-01-14 00:00:00+00:00,77.332968933,77.5199299217,76.5556048223,76.7032056029,522109,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,11.31788180903915,-40.43392512431495,False,False,False,True,True,
