date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_217,aVWAP_BoS_CHoCH_bull_273,aVWAP_BoS_CHoCH_bull_399,aVWAP_BoS_CHoCH_bull_497,aVWAP_BoS_CHoCH_bull_562,aVWAP_BoS_CHoCH_bull_643,aVWAP_BoS_CHoCH_bull_841,aVWAP_BoS_CHoCH_bear_132,aVWAP_BoS_CHoCH_bear_253,aVWAP_BoS_CHoCH_bear_511,aVWAP_BoS_CHoCH_bear_759,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,40.5043491384,41.9664168538,40.0892510488,41.4267893374,31510,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,40.9471204339,41.2337226037,40.4397783244,40.5689199523,20592,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-05 00:00:00+00:00,40.3936563145,41.3156352934,40.2460658826,40.873325218,24219,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,80.70175438559782,-27.192982457608707,False,False,True,False,True,
2022-01-06 00:00:00+00:00,40.6888371782,40.7534079921,40.1538218627,40.3844319125,37270,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,72.72905504530438,-27.192982457608707,False,False,True,False,True,
2022-01-07 00:00:00+00:00,39.9785582249,40.7285943507,39.8125189891,40.6334907662,19244,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,59.81278975051728,-27.192982457608707,False,False,True,False,True,
2022-01-10 00:00:00+00:00,39.1944840558,39.6557041553,38.7793859662,39.6557041553,38297,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,47.48911333058581,-27.192982457608707,False,False,False,False,False,
2022-01-11 00:00:00+00:00,38.98232281,39.2129328598,38.3366146707,39.2129328598,43164,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,38.59650003745271,-27.192982457608707,False,False,False,True,False,
2022-01-12 00:00:00+00:00,38.3366146707,39.5999887673,38.2997170627,39.2682792717,74935,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,31.077091974371367,-27.192982457608707,False,False,False,True,False,
2022-01-13 00:00:00+00:00,38.7332639563,39.1022400359,38.5487759165,38.6133467304,31116,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,29.819447529777673,-27.192982457608707,False,False,False,True,False,
2022-01-14 00:00:00+00:00,38.5948979264,38.6225711324,37.9312022032,38.4749807006,39544,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,28.53535865720295,-27.192982457608707,False,False,False,True,False,
